Plant	Population	ProportionOutcrossed	SeedOvule
2	1	0	NA
3	1	0	0.055
6	1	0	0.155
1	1	0	0.009
9	1	0	NA
8	1	0	0.07
13	1	0	0.031
17	1	0	0.132
18	1	0	0.047
4	2	0	0.632
5	2	0	0.258
7	2	0	0.278
10	2	0	0.238
11	2	0	0.188
12	2	0	0.191
14	2	0	0.361
15	2	0	0.073
16	2	0	0.175
2	1	0.25	0.284
3	1	0.25	0.117
6	1	0.25	0.325
1	1	0.25	0.463
9	1	0.25	0.084
8	1	0.25	0.219
13	1	0.25	0.225
17	1	0.25	0.446
18	1	0.25	0.316
4	2	0.25	0.618
5	2	0.25	0.307
7	2	0.25	0.349
10	2	0.25	0.693
11	2	0.25	0.197
12	2	0.25	0.387
14	2	0.25	0.515
15	2	0.25	0.426
16	2	0.25	0.276
2	1	0.5	0.841
3	1	0.5	0.65
6	1	0.5	0.245
1	1	0.5	0.479
9	1	0.5	0.299
8	1	0.5	0.028
13	1	0.5	0.432
17	1	0.5	0.557
18	1	0.5	0.498
4	2	0.5	0.81
5	2	0.5	0.733
7	2	0.5	0.064
10	2	0.5	0.496
11	2	0.5	0.204
12	2	0.5	0.875
14	2	0.5	0.649
15	2	0.5	0.645
16	2	0.5	0.348
2	1	0.75	0.787
3	1	0.75	0.369
6	1	0.75	0.483
1	1	0.75	0.553
9	1	0.75	0.217
8	1	0.75	0.448
13	1	0.75	0.646
17	1	0.75	0.728
18	1	0.75	0.461
4	2	0.75	0.835
5	2	0.75	0.704
7	2	0.75	0.587
10	2	0.75	0.455
11	2	0.75	0.29
12	2	0.75	0.849
14	2	0.75	0.575
15	2	0.75	0.327
16	2	0.75	0.638
2	1	1	0.545
3	1	1	NA
6	1	1	0.773
1	1	1	0.746
9	1	1	0.235
8	1	1	0.79
13	1	1	0.451
17	1	1	0.659
18	1	1	0.775
4	2	1	0.966
5	2	1	0.359
7	2	1	0.761
10	2	1	0.804
11	2	1	NA
12	2	1	0.901
14	2	1	0.774
15	2	1	0.816
16	2	1	0.839
